Geo,Year,HhPropIncQ1,HhPropIncQ2,HhPropIncQ3,HhPropIncQ4
D1,2015,0.075187844,0.164545898,0.307071658,0.453194601
D2,2015,0.107071786,0.207712469,0.295806436,0.389409309
D3,2015,0.146875205,0.255832293,0.286850233,0.310442269
D4,2015,0.186349988,0.232948773,0.255119319,0.32558192
D5,2015,0.498809565,0.265967358,0.169559366,0.065663711
D6,2015,0.297856114,0.289191594,0.252838742,0.16011355
D7,2015,0.423835286,0.310761263,0.184585011,0.080818441
D8,2015,0.403050847,0.273728814,0.229661017,0.093559322
D9,2015,0.527064442,0.272824808,0.144078355,0.056032394
D10,2015,0.164941411,0.297041669,0.347275498,0.190741422
D11,2015,0.326538396,0.274580437,0.225461943,0.173419224
D12,2015,0.207682961,0.239555099,0.253917812,0.298844129
D15,2015,0.287141074,0.265792759,0.237702871,0.209363296
D16,2015,0.310411489,0.296050815,0.240541287,0.15299641
D17,2015,0.265639067,0.249734006,0.242531715,0.242095212
D18,2015,0.219718009,0.243484298,0.260708182,0.276089511
D21,2015,0.293769895,0.315825375,0.240109141,0.150295589
D22,2015,0.289170829,0.257282005,0.248348171,0.205198995
D23,2015,0.233180662,0.291738762,0.246581849,0.228498728
D24,2015,0.186505455,0.218608853,0.257313599,0.337572094
D31,2015,0.18690316,0.231445876,0.301063898,0.280587067
D32,2015,0.133083028,0.184008874,0.248229371,0.434678727
D33,2015,0.192961251,0.24696054,0.32232492,0.237753288
D34,2015,0.405135145,0.286342619,0.166835833,0.141686403
D35,2015,0.325805161,0.294120718,0.209837663,0.170236459
D36,2015,0.333297171,0.277035237,0.238999306,0.150668287
D41,2015,0.203699057,0.225814545,0.238897452,0.331588946
D43,2015,0.26351562,0.225073268,0.214254536,0.297156575
D44,2015,0.260021177,0.250397065,0.244062925,0.245518832
D45,2015,0.401290724,0.236218023,0.15947438,0.203016873
D46,2015,0.299908004,0.224586017,0.203771849,0.271734131
D47,2015,0.370090158,0.291154404,0.21026417,0.128491268
D48,2015,0.191022122,0.271804572,0.30695947,0.230213836
D49,2015,0.197840804,0.257385373,0.301543748,0.243230075
D51,2015,0.194322679,0.244541856,0.270843086,0.290292378
D52,2015,0.283915678,0.267987373,0.228075904,0.220021044
D61,2015,0.243153403,0.240127009,0.249553483,0.267166104
D62,2015,0.256997855,0.255689845,0.254957359,0.232354942
D71,2015,0.206578061,0.234594104,0.277730613,0.281097222
D72,2015,0.263927786,0.267173095,0.233818527,0.235080592
D73,2015,0.216489393,0.253746254,0.289739672,0.240024681
D74,2015,0.344213302,0.232737572,0.211622229,0.211426897
D75,2015,0.248627559,0.253910161,0.221351379,0.2761109
D76,2015,0.201713396,0.235046729,0.295508827,0.267731049
D81,2015,0.24800638,0.245068413,0.249937044,0.256988164
D82,2015,0.207466919,0.241860954,0.275257299,0.275414829
D83,2015,0.267323172,0.257420265,0.237974053,0.237282509
D91,2015,0.180980339,0.218732933,0.299358274,0.300928454
D92,2015,0.306585185,0.276086584,0.209549375,0.207778857
D101,2015,0.259498997,0.2512784,0.241957408,0.247265195
D102,2015,0.235083034,0.25093883,0.259868147,0.254109989
D111,2015,0.23420465,0.232628399,0.287403126,0.245763825
D112,2015,0.164970314,0.206743003,0.293256997,0.335029686
D113,2015,0.183927324,0.26219427,0.273095737,0.280782669
D114,2015,0.270058343,0.246814469,0.243127188,0.24
D121,2015,0.207849453,0.274985166,0.278460626,0.238704755
D122,2015,0.288768487,0.260799531,0.24381315,0.206618831
D123,2015,0.252351172,0.223325536,0.246097293,0.278225999
D124,2015,0.220443696,0.263689975,0.262005055,0.253861275
D131,2015,0.303126551,0.279205955,0.20764268,0.210024814
D132,2015,0.219049809,0.230877908,0.268760678,0.281311605
D133,2015,0.333806818,0.291903409,0.212831439,0.161458333
D134,2015,0.22084507,0.297605634,0.254647887,0.226901408
D141,2015,0.297957033,0.281215243,0.278346895,0.142480829
D142,2015,0.268337375,0.251818917,0.247049313,0.232794395
D143,2015,0.1755096,0.19949657,0.245743053,0.379250777
D151,2015,0.241913699,0.275680671,0.238785811,0.243619819
D152,2015,0.283977758,0.264386396,0.226108884,0.225526962
D153,2015,0.18108,0.24824,0.28152,0.28916
D163,2015,0.255156364,0.248872727,0.253585455,0.242385455
D164,2015,0.211755233,0.227254428,0.251610306,0.309380032
D171,2015,0.199000339,0.228143002,0.262283972,0.310572687
D172,2015,0.315286133,0.282585223,0.206385932,0.195742712
D173,2015,0.251588417,0.25420298,0.254174866,0.240033736
D181,2015,0.291305647,0.251269794,0.246489393,0.210935166
D182,2015,0.202480753,0.245423439,0.257313944,0.294781865
D191,2015,0.193466559,0.245004022,0.275938873,0.285590546
D192,2015,0.307456854,0.253077174,0.208531423,0.230934549
D1,2050,0.075187844,0.164545898,0.307071658,0.453194601
D2,2050,0.107071786,0.207712469,0.295806436,0.389409309
D3,2050,0.146875205,0.255832293,0.286850233,0.310442269
D4,2050,0.186349988,0.232948773,0.255119319,0.32558192
D5,2050,0.498809565,0.265967358,0.169559366,0.065663711
D6,2050,0.297856114,0.289191594,0.252838742,0.16011355
D7,2050,0.423835286,0.310761263,0.184585011,0.080818441
D8,2050,0.403050847,0.273728814,0.229661017,0.093559322
D9,2050,0.527064442,0.272824808,0.144078355,0.056032394
D10,2050,0.164941411,0.297041669,0.347275498,0.190741422
D11,2050,0.326538396,0.274580437,0.225461943,0.173419224
D12,2050,0.207682961,0.239555099,0.253917812,0.298844129
D15,2050,0.287141074,0.265792759,0.237702871,0.209363296
D16,2050,0.310411489,0.296050815,0.240541287,0.15299641
D17,2050,0.265639067,0.249734006,0.242531715,0.242095212
D18,2050,0.219718009,0.243484298,0.260708182,0.276089511
D21,2050,0.293769895,0.315825375,0.240109141,0.150295589
D22,2050,0.289170829,0.257282005,0.248348171,0.205198995
D23,2050,0.233180662,0.291738762,0.246581849,0.228498728
D24,2050,0.186505455,0.218608853,0.257313599,0.337572094
D31,2050,0.18690316,0.231445876,0.301063898,0.280587067
D32,2050,0.133083028,0.184008874,0.248229371,0.434678727
D33,2050,0.192961251,0.24696054,0.32232492,0.237753288
D34,2050,0.405135145,0.286342619,0.166835833,0.141686403
D35,2050,0.325805161,0.294120718,0.209837663,0.170236459
D36,2050,0.333297171,0.277035237,0.238999306,0.150668287
D41,2050,0.203699057,0.225814545,0.238897452,0.331588946
D43,2050,0.26351562,0.225073268,0.214254536,0.297156575
D44,2050,0.260021177,0.250397065,0.244062925,0.245518832
D45,2050,0.401290724,0.236218023,0.15947438,0.203016873
D46,2050,0.299908004,0.224586017,0.203771849,0.271734131
D47,2050,0.370090158,0.291154404,0.21026417,0.128491268
D48,2050,0.191022122,0.271804572,0.30695947,0.230213836
D49,2050,0.197840804,0.257385373,0.301543748,0.243230075
D51,2050,0.194322679,0.244541856,0.270843086,0.290292378
D52,2050,0.283915678,0.267987373,0.228075904,0.220021044
D61,2050,0.243153403,0.240127009,0.249553483,0.267166104
D62,2050,0.256997855,0.255689845,0.254957359,0.232354942
D71,2050,0.206578061,0.234594104,0.277730613,0.281097222
D72,2050,0.263927786,0.267173095,0.233818527,0.235080592
D73,2050,0.216489393,0.253746254,0.289739672,0.240024681
D74,2050,0.344213302,0.232737572,0.211622229,0.211426897
D75,2050,0.248627559,0.253910161,0.221351379,0.2761109
D76,2050,0.201713396,0.235046729,0.295508827,0.267731049
D81,2050,0.24800638,0.245068413,0.249937044,0.256988164
D82,2050,0.207466919,0.241860954,0.275257299,0.275414829
D83,2050,0.267323172,0.257420265,0.237974053,0.237282509
D91,2050,0.180980339,0.218732933,0.299358274,0.300928454
D92,2050,0.306585185,0.276086584,0.209549375,0.207778857
D101,2050,0.259498997,0.2512784,0.241957408,0.247265195
D102,2050,0.235083034,0.25093883,0.259868147,0.254109989
D111,2050,0.23420465,0.232628399,0.287403126,0.245763825
D112,2050,0.164970314,0.206743003,0.293256997,0.335029686
D113,2050,0.183927324,0.26219427,0.273095737,0.280782669
D114,2050,0.270058343,0.246814469,0.243127188,0.24
D121,2050,0.207849453,0.274985166,0.278460626,0.238704755
D122,2050,0.288768487,0.260799531,0.24381315,0.206618831
D123,2050,0.252351172,0.223325536,0.246097293,0.278225999
D124,2050,0.220443696,0.263689975,0.262005055,0.253861275
D131,2050,0.303126551,0.279205955,0.20764268,0.210024814
D132,2050,0.219049809,0.230877908,0.268760678,0.281311605
D133,2050,0.333806818,0.291903409,0.212831439,0.161458333
D134,2050,0.22084507,0.297605634,0.254647887,0.226901408
D141,2050,0.297957033,0.281215243,0.278346895,0.142480829
D142,2050,0.268337375,0.251818917,0.247049313,0.232794395
D143,2050,0.1755096,0.19949657,0.245743053,0.379250777
D151,2050,0.241913699,0.275680671,0.238785811,0.243619819
D152,2050,0.283977758,0.264386396,0.226108884,0.225526962
D153,2050,0.18108,0.24824,0.28152,0.28916
D163,2050,0.255156364,0.248872727,0.253585455,0.242385455
D164,2050,0.211755233,0.227254428,0.251610306,0.309380032
D171,2050,0.199000339,0.228143002,0.262283972,0.310572687
D172,2050,0.315286133,0.282585223,0.206385932,0.195742712
D173,2050,0.251588417,0.25420298,0.254174866,0.240033736
D181,2050,0.291305647,0.251269794,0.246489393,0.210935166
D182,2050,0.202480753,0.245423439,0.257313944,0.294781865
D191,2050,0.193466559,0.245004022,0.275938873,0.285590546
D192,2050,0.307456854,0.253077174,0.208531423,0.230934549
