Geo,Year,UrbanArea,TownArea,RuralArea
D1,2015,42400.3973,0,20041.38362
D2,2015,27147.9602,0,0
D3,2015,23157.43394,0,1736.465589
D4,2015,15957.6038,0,1446.199047
D5,2015,16905.1758,0,0
D6,2015,7720.887039,0,0
D7,2015,25095.7502,0,1828.138065
D8,2015,1165.000466,0,0
D9,2015,15216.36743,0,816.7191854
D10,2015,20026.13496,0,65569.22431
D11,2015,15109.64555,0,0
D12,2015,29086.37814,0,11480.83827
D15,2015,4456.191792,0,80126.89356
D16,2015,358.6170042,0,44030.54981
D17,2015,36890.58788,0,70866.7033
D18,2015,34960.15047,0,6280.315795
D21,2015,7545.141037,0,0
D22,2015,28287.6933,0,655.8267213
D23,2015,16199.24739,0,0
D24,2015,23933.48476,0,15733.05254
D31,2015,56713.01817,0,3308.761775
D32,2015,44157.75019,0,1007.337946
D33,2015,32761.66153,0,5558.677433
D34,2015,19914.66406,0,0
D35,2015,22427.12502,0,0
D36,2015,34606.44446,0,0
D41,2015,24377.44006,0,0
D43,2015,13246.53402,0,0
D44,2015,31398.97116,0,1769.675305
D45,2015,4225.282413,0,0
D46,2015,2645.746145,0,0
D47,2015,18907.07071,0,0
D48,2015,28698.75269,0,6844.717577
D49,2015,31674.61908,0,9707.639232
D51,2015,15535.04134,0,68804.8972
D52,2015,27039.34484,0,17261.74119
D61,2015,24371.97421,0,23648.60069
D62,2015,16615.80767,0,62906.99608
D71,2015,72210.71466,0,11396.91441
D72,2015,51996.39869,0,0
D73,2015,33701.66002,0,21474.96031
D74,2015,29204.67643,0,0
D75,2015,21688.13385,0,0
D76,2015,34351.35814,0,3457.31141
D81,2015,27947.64659,0,6467.364737
D82,2015,13164.50837,0,59535.15815
D83,2015,36527.55191,0,65306.27182
D91,2015,14887.31977,0,24520.44903
D92,2015,19901.51889,0,25216.78117
D101,2015,14505.91399,0,34786.83937
D102,2015,7086.378982,0,47887.17739
D111,2015,4107.300324,0,78957.47712
D112,2015,143.5887091,0,77400.51448
D113,2015,607.3009771,0,61342.03672
D114,2015,23198.10525,0,55085.27081
D121,2015,10530.67992,0,48361.30771
D122,2015,1491.380331,0,104534.6658
D123,2015,13621.86882,0,68708.0933
D124,2015,0,0,75200.39644
D131,2015,4814.0831,0,69281.64195
D132,2015,30230.01325,0,53243.97726
D133,2015,525.034127,0,63447.14915
D134,2015,825.7270691,0,62920.63675
D141,2015,11757.27818,0,43502.53156
D142,2015,39448.2284,0,35146.00414
D143,2015,25995.77112,0,2305.160573
D151,2015,403.3812465,0,125464.6673
D152,2015,20645.18331,0,59056.98047
D153,2015,24928.14515,0,44202.73681
D163,2015,24676.52524,0,94454.48286
D164,2015,0,0,59523.97756
D171,2015,12061.18861,0,52342.90577
D172,2015,0,0,61401.31599
D173,2015,43176.15385,0,32178.00033
D181,2015,8956.260221,0,49806.62657
D182,2015,6869.121842,0,62080.93883
D191,2015,9583.773299,0,64597.45251
D192,2015,6341.903077,0,130643.3708
D1,2050,42400.3973,0,20041.38362
D2,2050,27147.9602,0,0
D3,2050,23157.43394,0,1736.465589
D4,2050,15957.6038,0,1446.199047
D5,2050,16905.1758,0,0
D6,2050,7720.887039,0,0
D7,2050,25095.7502,0,1828.138065
D8,2050,1165.000466,0,0
D9,2050,15216.36743,0,816.7191854
D10,2050,20026.13496,0,65569.22431
D11,2050,15109.64555,0,0
D12,2050,29086.37814,0,11480.83827
D15,2050,4456.191792,0,80126.89356
D16,2050,358.6170042,0,44030.54981
D17,2050,36890.58788,0,70866.7033
D18,2050,34960.15047,0,6280.315795
D21,2050,7545.141037,0,0
D22,2050,28287.6933,0,655.8267213
D23,2050,16199.24739,0,0
D24,2050,23933.48476,0,15733.05254
D31,2050,56713.01817,0,3308.761775
D32,2050,44157.75019,0,1007.337946
D33,2050,32761.66153,0,5558.677433
D34,2050,19914.66406,0,0
D35,2050,22427.12502,0,0
D36,2050,34606.44446,0,0
D41,2050,24377.44006,0,0
D43,2050,13246.53402,0,0
D44,2050,31398.97116,0,1769.675305
D45,2050,4225.282413,0,0
D46,2050,2645.746145,0,0
D47,2050,18907.07071,0,0
D48,2050,28698.75269,0,6844.717577
D49,2050,31674.61908,0,9707.639232
D51,2050,15535.04134,0,68804.8972
D52,2050,27039.34484,0,17261.74119
D61,2050,24371.97421,0,23648.60069
D62,2050,16615.80767,0,62906.99608
D71,2050,72210.71466,0,11396.91441
D72,2050,51996.39869,0,0
D73,2050,33701.66002,0,21474.96031
D74,2050,29204.67643,0,0
D75,2050,21688.13385,0,0
D76,2050,34351.35814,0,3457.31141
D81,2050,27947.64659,0,6467.364737
D82,2050,13164.50837,0,59535.15815
D83,2050,36527.55191,0,65306.27182
D91,2050,14887.31977,0,24520.44903
D92,2050,19901.51889,0,25216.78117
D101,2050,14505.91399,0,34786.83937
D102,2050,7086.378982,0,47887.17739
D111,2050,4107.300324,0,78957.47712
D112,2050,143.5887091,0,77400.51448
D113,2050,607.3009771,0,61342.03672
D114,2050,23198.10525,0,55085.27081
D121,2050,10530.67992,0,48361.30771
D122,2050,1491.380331,0,104534.6658
D123,2050,13621.86882,0,68708.0933
D124,2050,0,0,75200.39644
D131,2050,4814.0831,0,69281.64195
D132,2050,30230.01325,0,53243.97726
D133,2050,525.034127,0,63447.14915
D134,2050,825.7270691,0,62920.63675
D141,2050,11757.27818,0,43502.53156
D142,2050,39448.2284,0,35146.00414
D143,2050,25995.77112,0,2305.160573
D151,2050,403.3812465,0,125464.6673
D152,2050,20645.18331,0,59056.98047
D153,2050,24928.14515,0,44202.73681
D163,2050,24676.52524,0,94454.48286
D164,2050,0,0,59523.97756
D171,2050,12061.18861,0,52342.90577
D172,2050,0,0,61401.31599
D173,2050,43176.15385,0,32178.00033
D181,2050,8956.260221,0,49806.62657
D182,2050,6869.121842,0,62080.93883
D191,2050,9583.773299,0,64597.45251
D192,2050,6341.903077,0,130643.3708
